,activtrak,aftership,aha,aircall,algolia,amplitude,anaconda,anyword,appfollow,asana,assemblyai,atlassian,avoma,awskendra,blameless,botpress,box,breezy,buffer,canva,caspio,clarifai,cledara,clevertap,clickup,codecademy,cohere,constantcontact,coschedule,couchbase,databricks,deel,deepbrain,deepgram,edenai,elementor,employment-hero,evernote,flatfile,getresponse,getshogun,github,goto,grammarly,harness,hive,hiverhq,hootsuite,huggingface,izea,learnworlds,logicmonitor,logrocket,lokalise,madgicx,mailchimp,manatal,mixmax,mongodb,oneplan,openai,otter,pagerduty,pardot,pinecone,pipedrive,podium,postman,reply,resemble,salesloft,scratchpad,semrush,slack,smarterqueue,uizard,veed,voiceflow,workable,wrike,zenhub,ziprecruiter,zoho-recruit
assemblyai,0.5888475,0.6737965,0.56843686,0.5334858,0.574898,0.47863215,0.58020675,0.68537724,0.53540635,0.5754554,1.0000004,0.5186001,0.57736695,0.45230052,0.61059,0.56864655,0.48453772,0.66998154,0.5793673,0.43772018,0.4615528,0.56712663,0.57987475,0.659354,0.6387488,0.57584935,0.49717957,0.5340955,0.59325075,0.4333617,0.49166572,0.52915627,0.6054214,0.35380778,0.631781,0.45409477,0.42850512,0.5255003,0.54865456,0.52710795,0.47480947,0.4045224,0.6267116,0.44542503,0.5586797,0.6350461,0.5280298,0.5657022,0.5668075,0.57582444,0.5358539,0.5299802,0.6884872,0.56351984,0.61358804,0.35531947,0.50715005,0.4901814,0.2979911,0.19292414,0.38812557,0.56858003,0.60947406,0.29965097,0.4856618,0.5102373,0.5757686,0.53777933,0.6866399,0.58632636,0.63436276,0.7180468,0.62203944,0.59536225,0.51377,0.67708915,0.5187706,0.6015161,0.6184384,0.69767815,0.40199697,0.61630476,0.5492933
atlassian,0.52592206,0.5577718,0.59288925,0.51877,0.53280073,0.346923,0.47156167,0.5939125,0.47171316,0.5177245,0.5186001,1.0,0.49584746,0.4873389,0.45133233,0.58381355,0.5073675,0.580473,0.49925572,0.47817123,0.4908879,0.5300858,0.45888916,0.6375034,0.6090416,0.43883216,0.53085685,0.50012684,0.4996395,0.39720732,0.4563647,0.4734649,0.5881391,0.35437152,0.5112919,0.45288378,0.4881629,0.4654681,0.5777535,0.47594818,0.49359488,0.44274133,0.7067481,0.3723693,0.45207977,0.5160272,0.45209968,0.5467293,0.53506404,0.5593048,0.5164381,0.3898915,0.6100894,0.59797996,0.590788,0.3818779,0.31830627,0.47170287,0.36792782,0.22472113,0.36543232,0.5403496,0.5726036,0.23007914,0.48924994,0.47739005,0.690303,0.41159898,0.49802104,0.5012143,0.6554964,0.5915432,0.5850699,0.5955943,0.44708776,0.67178404,0.46725187,0.5560919,0.50339127,0.5890467,0.42992532,0.6153461,0.6608179
avoma,0.6241332,0.5267806,0.59666777,0.43446139,0.54400426,0.43973863,0.52708215,0.6179558,0.38525903,0.595127,0.57736695,0.49584746,1.0,0.5501318,0.4317875,0.5453836,0.43822426,0.55495226,0.59704006,0.5108588,0.5190702,0.5553608,0.3982763,0.6214714,0.6477889,0.56220937,0.5491439,0.41589314,0.5947676,0.47389323,0.48027706,0.5304622,0.6860746,0.5061003,0.56575245,0.48838836,0.39311352,0.49127507,0.40502635,0.39359426,0.42533454,0.49866664,0.5214428,0.37169206,0.57378733,0.5145339,0.52101994,0.4551637,0.5626532,0.60824645,0.5892184,0.50342304,0.6025816,0.53597426,0.5731365,0.40011805,0.37775686,0.5288962,0.39025986,0.18182853,0.42500424,0.58537245,0.65187657,0.42557162,0.57945144,0.41046405,0.5491741,0.51022935,0.6147631,0.58356243,0.5212514,0.5646758,0.5563079,0.5555649,0.50942767,0.63953817,0.5546528,0.65354097,0.56741095,0.43274125,0.48387462,0.55978286,0.48967618
awskendra,0.49959517,0.40626734,0.48140496,0.32640484,0.462869,0.32421505,0.45069206,0.5286007,0.2966782,0.5384806,0.45230052,0.4873389,0.5501318,1.0000002,0.4187416,0.49065316,0.4796118,0.464075,0.53460395,0.4549822,0.42483932,0.4518485,0.33365723,0.5250817,0.5539805,0.40723792,0.48827946,0.3628757,0.52323675,0.49290192,0.5112903,0.45448864,0.5715996,0.56632745,0.51207817,0.43612778,0.3623219,0.46638793,0.39558223,0.35889405,0.3136397,0.47826967,0.4702056,0.33304423,0.48284787,0.4885261,0.5045141,0.34421262,0.47207975,0.54559726,0.55387604,0.49751645,0.46931297,0.42040747,0.40241832,0.45148712,0.34917036,0.43130183,0.4809178,0.09310304,0.37136406,0.48271722,0.6443385,0.3311762,0.5338055,0.32651043,0.5193856,0.47069836,0.5544474,0.4508932,0.42593107,0.49109322,0.47859,0.44948733,0.41410416,0.58380955,0.57172453,0.5376837,0.43383852,0.39434636,0.38985896,0.5001534,0.43795055
blameless,0.534951,0.53639114,0.5181992,0.46339118,0.49101266,0.38135007,0.4507333,0.64746344,0.5068431,0.4558503,0.61059,0.45133233,0.4317875,0.4187416,1.0000001,0.55458254,0.43822685,0.63143396,0.493868,0.38450223,0.5171089,0.49743354,0.5536721,0.6059588,0.5606863,0.4519738,0.4664924,0.4557773,0.4884554,0.3863392,0.43907988,0.5357765,0.46011466,0.33211935,0.52155125,0.3862322,0.37786406,0.5282123,0.5417092,0.5100268,0.40778646,0.43332422,0.5840807,0.4387592,0.49094683,0.57327014,0.42385557,0.46547273,0.44631863,0.47709134,0.45775855,0.38295448,0.6023071,0.48513332,0.53466433,0.3148422,0.56857604,0.36412346,0.25316274,0.20777604,0.30866504,0.4542125,0.54202366,0.25114906,0.4886382,0.43087956,0.56469464,0.45456195,0.53678155,0.44927913,0.57109594,0.62043774,0.54205966,0.44072384,0.45118266,0.5674341,0.4615977,0.4890379,0.6163365,0.5794997,0.3754664,0.47723806,0.51766855
botpress,0.486813,0.5260164,0.55632377,0.536875,0.530173,0.41657892,0.49875706,0.6969686,0.53860694,0.5003833,0.56864655,0.58381355,0.5453836,0.49065316,0.55458254,1.0000001,0.55676216,0.5884423,0.534084,0.44052082,0.50029886,0.5603771,0.4816305,0.6516812,0.6566949,0.5377011,0.53012466,0.44141966,0.52243054,0.44425625,0.5652325,0.55875194,0.5828718,0.48192608,0.6090692,0.37853727,0.4565965,0.4708618,0.54562604,0.4848829,0.45943096,0.47326362,0.6178334,0.39795142,0.42566946,0.53368986,0.5235433,0.5014119,0.49913007,0.5130735,0.5747122,0.4180525,0.640452,0.57379735,0.58098584,0.40279114,0.47038096,0.46225235,0.2864769,0.20485714,0.39961582,0.5631814,0.5798015,0.25418982,0.49891952,0.5608161,0.6160422,0.45806226,0.54757345,0.5062576,0.6321369,0.6413287,0.6200615,0.60222894,0.4724417,0.640327,0.516041,0.60666573,0.5878171,0.5575906,0.35981727,0.6188438,0.5358071
box,0.45087597,0.48461646,0.5250481,0.44149458,0.43990895,0.3769322,0.47881973,0.58238953,0.44214168,0.4271366,0.48453772,0.5073675,0.43822426,0.4796118,0.43822685,0.55676216,0.9999999,0.48754585,0.55559754,0.49719915,0.44062394,0.4627902,0.43585306,0.6081116,0.5895512,0.5043158,0.5690284,0.39439335,0.49668443,0.44599396,0.5335976,0.5185726,0.53835166,0.41553414,0.53165317,0.3804571,0.4310016,0.4013257,0.5734434,0.44797373,0.41199932,0.45042667,0.5261746,0.3568458,0.43249342,0.5446259,0.47008964,0.5015429,0.42344922,0.46289843,0.587289,0.45846695,0.530177,0.5556581,0.43648246,0.35496098,0.35696945,0.42960835,0.28305608,0.26525143,0.5037842,0.52778333,0.5138985,0.23634613,0.45084786,0.4419384,0.48501974,0.4549188,0.4859839,0.4247837,0.5406807,0.59867346,0.54632884,0.5548164,0.38201493,0.62004715,0.5281878,0.5097211,0.55019426,0.46174842,0.46373332,0.51905847,0.58861005
breezy,0.61511546,0.74011075,0.7633929,0.518757,0.63586557,0.53571594,0.57280326,0.7347163,0.55532587,0.57411814,0.66998154,0.580473,0.55495226,0.464075,0.63143396,0.5884423,0.48754585,1.0,0.5742546,0.5142141,0.5302263,0.57622576,0.49145865,0.7745998,0.69329154,0.53108877,0.5369115,0.58434665,0.5810778,0.48300627,0.5350726,0.6712832,0.5758678,0.38112876,0.62221575,0.4620133,0.5313366,0.5740309,0.56823814,0.5055927,0.53558433,0.48581627,0.64471465,0.43981552,0.6037486,0.6425066,0.5581661,0.58291924,0.5832947,0.6225163,0.5717239,0.43176687,0.67227936,0.6300405,0.62305105,0.38138726,0.47817487,0.49306923,0.34525013,0.15072845,0.32525122,0.610137,0.62145567,0.3161065,0.55750173,0.53349566,0.60464346,0.5500001,0.63483596,0.5146461,0.6554754,0.72157824,0.66456634,0.7019743,0.45634103,0.6664473,0.5927596,0.5811682,0.6915473,0.6984484,0.52141035,0.66785794,0.6099946
buffer,0.6279286,0.60590196,0.6052202,0.4525899,0.54437673,0.5077958,0.6379567,0.67933863,0.5167005,0.5656433,0.5793673,0.49925572,0.59704006,0.53460395,0.493868,0.534084,0.55559754,0.5742546,0.99999976,0.5194597,0.57388574,0.54732764,0.44023204,0.68324107,0.65770614,0.58780026,0.65525484,0.46677154,0.56313723,0.49133277,0.544484,0.550757,0.5999515,0.4427944,0.5540056,0.428879,0.42823768,0.56792927,0.49467567,0.5011386,0.46184614,0.49652153,0.5690828,0.4726804,0.5635322,0.5886346,0.5604261,0.5084495,0.5987679,0.5724121,0.6337978,0.58706534,0.6406159,0.58317584,0.5644454,0.3443293,0.41017213,0.5659577,0.38908276,0.1954774,0.4222901,0.6265986,0.6417275,0.26219317,0.5500889,0.5722064,0.5873674,0.574103,0.67088205,0.47518158,0.5261916,0.6559385,0.587546,0.6733116,0.5392245,0.68559015,0.5843591,0.6358857,0.61589706,0.53501964,0.4599762,0.5906099,0.56979716
canva,0.44667366,0.46963197,0.5069652,0.3647443,0.40522146,0.41956943,0.47784197,0.5848537,0.40288296,0.48640636,0.43772018,0.47817123,0.5108588,0.4549822,0.38450223,0.44052082,0.49719915,0.5142141,0.5194597,1.0000002,0.50283146,0.49497223,0.32014382,0.53828216,0.5328881,0.50688356,0.5770967,0.37917835,0.47205263,0.429574,0.37589347,0.45915473,0.53017926,0.5029181,0.4550533,0.3586287,0.3374473,0.4627878,0.42791665,0.32133108,0.3607971,0.4163742,0.46784753,0.37925047,0.45391136,0.4655788,0.42130432,0.44622883,0.42737925,0.49342364,0.54863507,0.45247,0.42843658,0.44733286,0.4604386,0.3043806,0.32056367,0.4023534,0.38643253,0.2774034,0.28443187,0.50695515,0.5081727,0.35105902,0.4575184,0.38798314,0.47824275,0.38748938,0.4559138,0.40709466,0.4908458,0.48922127,0.46284592,0.48386934,0.37338945,0.5647707,0.59327924,0.48077643,0.49239814,0.43665498,0.3837887,0.5062473,0.5112596
caspio,0.58883786,0.4703189,0.51448,0.3918801,0.53703195,0.34680784,0.52981323,0.56528294,0.39695203,0.49548286,0.4615528,0.4908879,0.5190702,0.42483932,0.5171089,0.50029886,0.44062394,0.5302263,0.57388574,0.50283146,1.0000002,0.43425468,0.40586346,0.5903013,0.50905216,0.4964767,0.5461867,0.34976688,0.5508806,0.48417878,0.49707735,0.52754843,0.58407557,0.48611954,0.512244,0.43910265,0.3304659,0.34319454,0.39712587,0.37979722,0.35224158,0.47051418,0.46010658,0.38201672,0.53359145,0.5565143,0.4466551,0.397339,0.46785945,0.52080613,0.5469279,0.46602386,0.46225262,0.42477894,0.52013046,0.35314,0.44118744,0.40947083,0.39405265,0.14770544,0.29235208,0.43542922,0.5867163,0.3025195,0.5503886,0.3692887,0.5211718,0.5114701,0.5220561,0.43467438,0.47095615,0.5294272,0.4539098,0.4385442,0.49051234,0.58137214,0.5796963,0.494331,0.56816083,0.4219604,0.40018934,0.4872014,0.4270202
clarifai,0.5339273,0.57927406,0.5982421,0.4134946,0.54533535,0.41350383,0.56849635,0.6321663,0.46857423,0.57841617,0.56712663,0.5300858,0.5553608,0.4518485,0.49743354,0.5603771,0.4627902,0.57622576,0.54732764,0.49497223,0.43425468,0.99999976,0.44274354,0.64096385,0.6425241,0.5910133,0.55738723,0.4686572,0.49761847,0.4112258,0.515333,0.5353103,0.58861786,0.37234086,0.5775071,0.41611564,0.5049617,0.5361316,0.46587396,0.43225735,0.39335823,0.48212194,0.5824433,0.4684918,0.49534634,0.48534605,0.47752765,0.49739408,0.5560105,0.54081726,0.50973636,0.5279298,0.5338563,0.54309124,0.56765306,0.34464246,0.40588588,0.4837981,0.31322694,0.20179704,0.48554385,0.56889814,0.5677394,0.33231705,0.5004258,0.493127,0.5654582,0.5547153,0.53531563,0.5598065,0.52546346,0.63147056,0.58123314,0.61443,0.3721657,0.5957484,0.5725551,0.5732916,0.5813843,0.51616967,0.47892138,0.5478417,0.5664479
cledara,0.4143625,0.4842838,0.44568196,0.4898194,0.5293368,0.3704287,0.47051725,0.6112826,0.57069457,0.35395277,0.57987475,0.45888916,0.3982763,0.33365723,0.5536721,0.4816305,0.43585306,0.49145865,0.44023204,0.32014382,0.40586346,0.44274354,0.9999998,0.55164826,0.46647382,0.39536697,0.43392962,0.44695848,0.43560845,0.23065366,0.33135343,0.5218034,0.4323855,0.24473782,0.5439873,0.42798543,0.4002025,0.43577683,0.42660037,0.47791255,0.41193885,0.42757517,0.53201395,0.44889927,0.44124597,0.45204777,0.35145977,0.45854384,0.35357517,0.4753074,0.47329444,0.3557147,0.5183399,0.4483689,0.4909743,0.28451365,0.5185834,0.3544877,0.26468843,0.13560106,0.41574246,0.41167945,0.46881387,0.33576638,0.33019233,0.39038303,0.43395555,0.3706469,0.50646406,0.38151127,0.5570121,0.4596296,0.49536103,0.4006245,0.4203987,0.4908387,0.3701819,0.4165361,0.4870758,0.6257655,0.315822,0.43991536,0.46375775
clevertap,0.6239215,0.7573381,0.7210729,0.54273665,0.6775416,0.54589504,0.61803865,0.768394,0.593336,0.63515764,0.659354,0.6375034,0.6214714,0.5250817,0.6059588,0.6516812,0.6081116,0.7745998,0.68324107,0.53828216,0.5903013,0.64096385,0.55164826,0.9999999,0.73087466,0.56071854,0.6145699,0.570791,0.66631997,0.49623543,0.6219466,0.6880177,0.6503141,0.50778824,0.6852492,0.5207082,0.52513754,0.5950181,0.5830321,0.5622039,0.54633355,0.5462316,0.66944385,0.5130759,0.60198534,0.61731994,0.563867,0.618711,0.6147846,0.7310909,0.6410501,0.5142001,0.73836935,0.64479333,0.6532053,0.4935658,0.5290626,0.58341414,0.44632608,0.2510464,0.406547,0.5938926,0.7406241,0.365794,0.6141181,0.53740275,0.6415012,0.61334586,0.72154045,0.4768325,0.684681,0.7352971,0.73036003,0.69443053,0.48247886,0.72530556,0.6332748,0.6355451,0.7087436,0.738727,0.5754268,0.6662468,0.6777551
clickup,0.7313236,0.6712577,0.7507621,0.46717614,0.6450401,0.48811656,0.5653479,0.71349704,0.55496144,0.6825408,0.6387488,0.6090416,0.6477889,0.5539805,0.5606863,0.6566949,0.5895512,0.69329154,0.65770614,0.5328881,0.50905216,0.6425241,0.46647382,0.73087466,0.9999999,0.60565364,0.5876593,0.52004004,0.5909116,0.53968817,0.64643455,0.63432366,0.659279,0.5067912,0.59702754,0.49894816,0.5090226,0.62926877,0.5538466,0.4584911,0.5744889,0.55203676,0.65250665,0.45372713,0.5877049,0.61011016,0.58393,0.5280571,0.6244657,0.65503377,0.64498514,0.58128095,0.6985148,0.6173222,0.6140142,0.38612318,0.4615339,0.5516566,0.42972815,0.16971734,0.45225424,0.7145041,0.66557074,0.3431918,0.59593207,0.602671,0.6581876,0.63390774,0.6628535,0.575686,0.62404156,0.7413068,0.64207023,0.6780051,0.6032908,0.7200092,0.67791796,0.67931277,0.67451394,0.57953167,0.49374795,0.6566758,0.6108322
codecademy,0.6105901,0.54262197,0.5387566,0.4731696,0.5666983,0.49205858,0.5007632,0.61322653,0.44847918,0.5135937,0.57584935,0.43883216,0.56220937,0.40723792,0.4519738,0.5377011,0.5043158,0.53108877,0.58780026,0.50688356,0.4964767,0.5910133,0.39536697,0.56071854,0.60565364,1.0,0.58053833,0.4746585,0.503654,0.3456641,0.48943642,0.4913302,0.5500678,0.3392321,0.5078634,0.4607798,0.45579514,0.5767575,0.36518764,0.4463718,0.4018064,0.46573865,0.57470644,0.4698546,0.43927413,0.5279352,0.52375764,0.47707337,0.5220961,0.44873095,0.5868858,0.541569,0.5700186,0.57628256,0.6234323,0.37741494,0.3914575,0.49227142,0.21462578,0.18609926,0.4079097,0.62475,0.5307127,0.3898525,0.5101769,0.45184577,0.49752232,0.5100376,0.5244611,0.52294475,0.5258823,0.5578981,0.57628274,0.57371587,0.48297864,0.62890226,0.46655726,0.5992907,0.53072464,0.46588534,0.42792088,0.5365947,0.5440435
